title,authors,author_affiliations,publication_year,publication_title,pdf_url,doi,access_status,conference_code
Redundancy-Aware Action Spaces for Robot Learning,Pietro Mazzaglia; Nicholas Backshall; Xiao Ma; Stephen James,,2024,IEEE Robotics and Automation Letters,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10560461,10.1109/LRA.2024.3416074,Заблокировано,unnamed
Safe Reinforcement Learning for Collaborative Robots in Dynamic Human Environments,Sundas Rafat Mulkana,,2024,2024 12th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10970290,10.1109/ACIIW63320.2024.00013,Заблокировано,unnamed
Interactive Robot-Robot Reinforcement Learning for Object Balancing Task,Yewon Kim; Haein Jeon; Bo-Yeong Kang,,2024,2024 IEEE International Conference on Consumer Electronics (ICCE),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10444355,10.1109/ICCE59016.2024.10444355,Заблокировано,unnamed
Research on indoor robot navigation algorithm based on deep reinforcement learning,Yaohua Lei; Yunli Cheng; Xueqin Tan; Yanxian Tan,,2023,2023 International Conference on Image Processing; Computer Vision and Machine Learning (ICICML),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10424919,10.1109/ICICML60161.2023.10424919,Заблокировано,unnamed
Repetitive Impedance Learning-Based Physically Human–Robot Interactive Control,Tairen Sun; Jiantao Yang; Yongping Pan; Hongliu Yu,,2024,IEEE Transactions on Neural Networks and Learning Systems,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10048010,10.1109/TNNLS.2023.3243091,Заблокировано,unnamed
Mobile Service Robot Path Planning Using Deep Reinforcement Learning,A. A. Nippun Kumaar; Sreeja Kochuvila,,2023,IEEE Access,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10238717,10.1109/ACCESS.2023.3311519,Открыто,unnamed
Deep reinforcement learning based mobile robot navigation: A review,Kai Zhu; Tao Zhang,,2021,Tsinghua Science and Technology,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9409758,10.26599/TST.2021.9010012,Открыто,unnamed
Learning Dexterous Robot Hand Control by Imitating Human Hands,Yashuai Yan; Dongheui Lee,,2025,2025 22nd International Conference on Ubiquitous Robots (UR),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11078061,10.1109/UR65550.2025.11078061,Заблокировано,unnamed
Simulation-Based Robot Skill Learning System Using PPO and Cauchy-Distribution-Based Reward Design,Shun Zhang; Kaifeng Jian; Zejun Sun,,2025,2025 9th International Conference on Robotics and Automation Sciences (ICRAS),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11108746,10.1109/ICRAS65818.2025.11108746,Заблокировано,ICRA
Learning Multimodal Latent Dynamics for Human–Robot Interaction,Vignesh Prasad; Lea Heitlinger; Dorothea Koert; Ruth Stock-Homburg; Jan Peters; Georgia Chalvatzaki,,2025,IEEE Transactions on Robotics,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11049049,10.1109/TRO.2025.3582829,Заблокировано,unnamed
Effects of Different Demographics when Evaluating Interactive Robot-Empowered Language Learning in Human-Robot Interaction,Kwong Chiu Fung; Ka Yan Fung; Rick Tze Leung Lui; Wai Ho Mow; Kuen Fung Sin,,2025,2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10974071,10.1109/HRI61500.2025.10974071,Заблокировано,unnamed
Human Experiences in Teaching Robots: Understanding Agent Expressivity and Learning Effects through a Virtual Robot Arm,Aviv Elor; Sri Kurniawan; Leila Takayama,,2022,2022 IEEE International Conference on Smart Computing (SMARTCOMP),https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9821072,10.1109/SMARTCOMP55677.2022.00033,Заблокировано,unnamed
